area,prefecture,population
Roosevelt,Minnesota,138
Woodlawn,Arkansas,138
Muncie,Illinois,138
Walthall,Mississippi,138
Hookstown,Pennsylvania,138
Cassville,Pennsylvania,138
Ringgold,Maryland,138
Shubert,Nebraska,138
Dorchester,Illinois,138
Aubrey,Arkansas,138
Anselmo,Nebraska,138
North Washington,Iowa,138
Hardwick,California,138
Joyce,Louisiana,138
Brick Center,Colorado,138
Latham,Kansas,138
Haivana Nakya,Arizona,138
Roy,Montana,138
Weskan,Kansas,138
Upham,North Dakota,138
Middleburg,North Carolina,137
San Pedro,New Mexico,137
Iroquois,Illinois,137
Alvo,Nebraska,137
Summit,Oklahoma,137
Netawaka,Kansas,137
Neosho Falls,Kansas,137
Okolona,Arkansas,137
Greensboro,Indiana,137
Jerseytown,Pennsylvania,137
Cashiers,North Carolina,137
Artesian,South Dakota,137
Rocky Ford,Georgia,137
Brooks,Minnesota,137
Sasakwa,Oklahoma,137
Sedgwick,Colorado,137
Hanover,Wisconsin,137
Virgilina,Virginia,137
Normanna,Texas,137
Marmarth,North Dakota,137
Cherokee,California,137
Maish Vaya,Arizona,137
Du Bois,Nebraska,137
La Cueva,New Mexico,137
Bee,Oklahoma,137
Crystal Beach,Arizona,137
Pine Lake,Arizona,137
San Isidro,Texas,137
Lena,Mississippi,136
Burtrum,Minnesota,136
Houghton,Iowa,136
Rockville,South Carolina,136
Pontoosuc,Illinois,136
Parrott,Georgia,136
Dooling,Georgia,136
St. Xavier,Montana,136
Hunt,New York,136
Birch River,West Virginia,136
Glen Hope,Pennsylvania,136
Bogue,Kansas,136
Iola,Illinois,136
Pollard,Alabama,136
Monterey,Virginia,136
St. Lucas,Iowa,136
Kevin,Montana,136
Sylvester,West Virginia,136
Pullman,West Virginia,136
Pick City,North Dakota,136
Thurston,Nebraska,136
Lockington,Ohio,136
Ranger,Georgia,136
Broadwell,Illinois,136
Cadiz,Indiana,136
Stark City,Missouri,136
Huntersville,West Virginia,136
Hackberry,Arizona,136
Gordon,Wisconsin,136
Marksboro,New Jersey,136
Gilmanton,Wisconsin,136
Indian Village,Indiana,135
Castine,Ohio,135
Clare,Iowa,135
Everton,Arkansas,135
Forksville,Pennsylvania,135
Ricketts,Iowa,135
Astoria,South Dakota,135
Harper,Oregon,135
Langlois,Oregon,135
Kirkpatrick,Oregon,135
Dawson,Nebraska,135
Edgar,Montana,135
Tenakee Springs,Alaska,135
Moorefield,Arkansas,135
Montrose,Mississippi,135
Pageton,West Virginia,135
Cliff,New Mexico,135
Wolf Summit,West Virginia,135
Avoca,Minnesota,135
Kenny Lake,Alaska,135
Raywick,Kentucky,135
New Schaefferstown,Pennsylvania,135
Peoria,Oklahoma,135
Smeltertown,Colorado,135
Mifflin,Ohio,134
Llano del Medio,New Mexico,134
Mead,Oklahoma,134
Hoodsport,Washington,134
Cassandra,Pennsylvania,134
Epping,North Dakota,134
Alpha,Michigan,134
Bairdstown,Ohio,134
Oaks,Missouri,134
Sharon,Oklahoma,134
Hamilton,Iowa,134
Willow,Oklahoma,134
Upland,Nebraska,134
Monument,New Mexico,134
Marenisco,Michigan,134
Empire,Nevada,134
Rock Hill,Louisiana,134
Hunter,Missouri,134
New Salem,Illinois,134
Klondike,Maryland,134
Ayrshire,Iowa,134
Bladensburg,Ohio,134
Pointe a la Hache,Louisiana,134
Hammond,Minnesota,134
Otter Creek,Florida,134
Marble,Colorado,134
Bendena,Kansas,134
Port Alsworth,Alaska,134
Prathersville,Missouri,134
Modest Town,Virginia,134
Whiting,Wyoming,134
Camp Three,Montana,134
Ronks,Pennsylvania,133
Sedalia,Colorado,133
Crumpler,West Virginia,133
Monterey,Kentucky,133
Custer,Washington,133
Venedy,Illinois,133
Nondalton,Alaska,133
Success,Arkansas,133
Taunton,Minnesota,133
Bradley,Oklahoma,133
Luther,Iowa,133
Valentine,Texas,133
West Middletown,Pennsylvania,133
Brook Park,Minnesota,133
Cantrall,Illinois,133
Lansing,Minnesota,133
Sheakleyville,Pennsylvania,133
Sinking Spring,Ohio,133
Westport,South Dakota,133
Patterson,Ohio,133
West Brooklyn,Illinois,133
Castana,Iowa,133
Hanna,Oklahoma,133
Acequia,Idaho,133
North Westminster,Vermont,133
Galestown,Maryland,133
Jacksonville,Georgia,133
Chester,Oklahoma,133
Woodward,Pennsylvania,133
Bannock,Ohio,133
Rohrsburg,Pennsylvania,133
Kingsbury,Texas,133
Linden,North Carolina,133
Needmore,Pennsylvania,133
Glasgow,Illinois,132
Big Bend,California,132
Pine Apple,Alabama,132
Cordova,Nebraska,132
Mackey,Indiana,132
White Water,Oklahoma,132
Franklin,Iowa,132
Norman,North Carolina,132
Erin Springs,Oklahoma,132
Novelty,Missouri,132
Atlanta,Nebraska,132
Hastings,Oklahoma,132
Glendora,Mississippi,132
Pyote,Texas,132
Frankclay,Missouri,132
Cayuga,Oklahoma,132
Cumminsville,New York,132
Tumacacori-Carmen,Arizona,132
Pearl,Illinois,132
Brunswick,Nebraska,132
Myers Flat,California,132
Georgetown,Arkansas,132
Holliday,Missouri,132
Soldier,Kansas,132
Markleeville,California,132
Kings Valley,Oregon,132
La Grange,Tennessee,132
Ruth,Nevada,132
Garvin,Minnesota,131
Old Bennington,Vermont,131
Ekwok,Alaska,131
Collins,Wisconsin,131
Hepler,Kansas,131
Rhineland,Missouri,131
Kirvin,Texas,131
Bragg City,Missouri,131
Lester,Alabama,131
Sumatra,Florida,131
Odessa,Minnesota,131
Bearden,Oklahoma,131
Nellie,Ohio,131
Coal Center,Pennsylvania,131
Miller,Nebraska,131
Pritchett,Colorado,131
Brussels,Illinois,131
Oxly,Missouri,131
Iona,Minnesota,131
Central City,South Dakota,131
East Peru,Iowa,131
Boston,Kentucky,131
Fairmont,Oklahoma,131
Lesterville,South Dakota,131
Orviston,Pennsylvania,131
Fordyce,Nebraska,131
Larrabee,Iowa,131
Sawyer,Kansas,131
Marion,North Dakota,130
Dimock,South Dakota,130
Downsville,Louisiana,130
Cliffdell,Washington,130
Carthage,South Dakota,130
Boston,Indiana,130
Morrison,Missouri,130
Shepardsville,Indiana,130
Homestown,Missouri,130
Mulberry,Oklahoma,130
Chapin,Iowa,130
Ramah,Colorado,130
Addy,Washington,130
Meadow Acres,Wyoming,130
Kingdom City,Missouri,130
Maunie,Illinois,130
La Rose,Illinois,130
Bennington,Idaho,130
Wolverton,Minnesota,130
Faxon,Oklahoma,130
Herndon,Kansas,130
Hoehne,Colorado,130
Millhousen,Indiana,130
Kaibab,Arizona,130
Mitchell,Iowa,130
Penfield,Illinois,130
Stone City,Iowa,130
Catharine,Kansas,130
Coronaca,South Carolina,129
Hasty,Colorado,129
Avilla,Missouri,129
Woodland,Mississippi,129
Goodridge,Minnesota,129
Seven Oaks,Texas,129
Woodston,Kansas,129
Medora,North Dakota,129
Gould,Oklahoma,129
Merriman,Nebraska,129
New Weston,Ohio,129
Wagner,Pennsylvania,129
Estelline,Texas,129
Woodman,Wisconsin,129
Ithaca,Ohio,129
Del Sol,Texas,129
Hat Creek,California,129
St. Donatus,Iowa,129
Kapowsin,Washington,129
Browns,Illinois,129
Perkins,Georgia,129
Geyser,Montana,129
Colony,Oklahoma,129
Fleming,Missouri,129
Virden,New Mexico,129
Marietta,Texas,129
Glen Arbor,Michigan,129
Rainsburg,Pennsylvania,128
Claremont,South Dakota,128
Goodell,Iowa,128
Washington Park,Arizona,128
Home,Kansas,128
St. Mary,Kentucky,128
Novice,Texas,128
Chain-O-Lakes,Missouri,128
Scottsburg,Virginia,128
Blountsville,Indiana,128
Granger,Wyoming,128
Cheshire,Ohio,128
Westfield,Iowa,128
Starbuck,Washington,128
Black Hawk,Colorado,128
Alicia,Arkansas,128
Centralia,Iowa,128
Sallis,Mississippi,128
Lewis and Clark Village,Missouri,128
Crystal,North Dakota,128
New Centerville,Pennsylvania,128
Powhatan,Louisiana,128
Webb,Iowa,128
Volta,California,128
Viola,Kansas,128
Brownville,Nebraska,128
Mertens,Texas,128
Bodcaw,Arkansas,128
Zoar,Wisconsin,128
Bonanza Hills,Texas,128
East Shore,California,128
Rock Creek Park,Colorado,128
Pinhook Corner,Oklahoma,127
Quamba,Minnesota,127
Baring,Missouri,127
Jameson,Missouri,127
New Buffalo,Pennsylvania,127
Lorraine,Kansas,127
Forestville,Michigan,127
Spearsville,Louisiana,127
Meadowlands,Minnesota,127
Whitewater,Montana,127
Lynxville,Wisconsin,127
St. Marys,Iowa,127
Ludlow,Missouri,127
Wright,Minnesota,127
Java,South Dakota,127
Washington,Virginia,127
Calzada,Puerto Rico,127
Pensacola,Oklahoma,127
Midland,South Dakota,127
Westboro,Missouri,127
Caledonia,Missouri,127
Kimberly,West Virginia,127
Phillips,Oklahoma,127
Deer Park,Alabama,127
Georgetown,Minnesota,126
Ohlman,Illinois,126
Chuathbaluk,Alaska,126
Columbia,Virginia,126
Hoffman,Oklahoma,126
Morriston,Florida,126
Northwest Stanwood,Washington,126
Camak,Georgia,126
Sierra City,California,126
Topaz,California,126
Narcissa,Oklahoma,126
Sharon,Georgia,126
Parkman,Wyoming,126
Filley,Nebraska,126
Levering,Michigan,126
Polvadera,New Mexico,126
Bisbee,North Dakota,126
Dawson,Iowa,126
Jamestown,Louisiana,126
Naukati Bay,Alaska,126
Ulen,Indiana,126
McDermitt,Nevada,126
Springhill,Montana,126
New Cambria,Kansas,126
Pistol River,Oregon,126
Gypsy,West Virginia,126
Judith Gap,Montana,125
McIntire,Iowa,125
St. Joe,Arkansas,125
Mountain View,New Mexico,125
Cold Bay,Alaska,125
Fishers Island,New York,125
Monument,Oregon,125
Randsburg,California,125
Deer Creek,Oklahoma,125
Venetie,Alaska,125
Haynes,Arkansas,125
Cosby,Missouri,125
Sheldon,North Dakota,125
Damar,Kansas,125
Endicott,Nebraska,125
Peach Orchard,Arkansas,125
Alden,Michigan,125
Casa Colorada,New Mexico,125
Hudson,Kansas,124
Bingham Lake,Minnesota,124
Rentiesville,Oklahoma,124
Peru,Kansas,124
Odin,Kansas,124
Hallett,Oklahoma,124
Cusseta,Alabama,124
Utting,Arizona,124
Harrold,South Dakota,124
Havelock,Iowa,124
Heidelberg,Minnesota,124
Sinai,South Dakota,124
Guthrie,Texas,124
Windom,Kansas,124
McCool,Mississippi,124
St. Paul,Iowa,124
Archer,Iowa,124
Ashton,South Dakota,124
Las Nutrias,New Mexico,124
Hilltop,Georgia,124
Noonan,North Dakota,124
Anton Chico,New Mexico,124
Adamsville,Ohio,124
Vernonburg,Georgia,124
Toxey,Alabama,124
Mazie,Oklahoma,124
Dutchtown,Missouri,124
West Union,Minnesota,124
Pence,Wisconsin,124
Christopher Creek,Arizona,123
Edison,Nebraska,123
Deering,Alaska,123
Summitville,Ohio,123
Oelrichs,South Dakota,123
McKinley,Minnesota,123
Corinne,West Virginia,123
Harding,Minnesota,123
Bena,Minnesota,123
Oak Ridge,Louisiana,123
Liverpool,Illinois,123
Perkinsville,Vermont,123
Watrous,New Mexico,123
De Graff,Minnesota,123
Luray,South Carolina,123
Eldridge,Alabama,123
Livonia,Indiana,123
Cavour,South Dakota,123
Bobtown,Virginia,123
Leonore,Illinois,123
Browning,Illinois,123
Kaka,Arizona,123
Cassoday,Kansas,123
Burlington,West Virginia,123
Southside Chesconessex,Virginia,123
Higden,Arkansas,122
Wiota,Wisconsin,122
Elk River,Idaho,122
Whitewater,Missouri,122
Dallas,South Dakota,122
Kelly,Wyoming,122
Steuben,Wisconsin,122
Bouton,Iowa,122
Dexter City,Ohio,122
Ferguson,Iowa,122
Allenville,Missouri,122
Bishop Hill,Illinois,122
Raritan,Illinois,122
Ayr,Nebraska,122
Rutland,Iowa,122
Miesville,Minnesota,122
Methow,Washington,122
Morningside,South Dakota,122
Montreal,Missouri,122
Frankfort Springs,Pennsylvania,122
Rosedale,New Mexico,122
Farmington,Delaware,122
Porter,Washington,122
Ormsby,Minnesota,122
Hillsdale,Oklahoma,122
Knowlton,Wisconsin,122
Livingston,South Carolina,122
Maysville,Colorado,122
Inman,Nebraska,122
Sula,Montana,122
Des Moines,New Mexico,122
Long Island,Kansas,121
Miramiguoa Park,Missouri,121
Eden,Mississippi,121
Church Creek,Maryland,121
Gann,Ohio,121
Forest River,North Dakota,121
North Buena Vista,Iowa,121
Friendly,West Virginia,121
Redford,Texas,121
Sikes,Louisiana,121
Moskowite Corner,California,121
Ravenden Springs,Arkansas,121
Dora,New Mexico,121
Mitchell,Oregon,121
Shelocta,Pennsylvania,121
Olean,Missouri,121
Antimony,Utah,121
Green,Kansas,121
Tensed,Idaho,121
Salvisa,Kentucky,121
Chester,Iowa,120
Pierpont,South Dakota,120
Stanley,Iowa,120
Seven Hills,Colorado,120
Gunn City,Missouri,120
Cokedale,Colorado,120
Octavia,Nebraska,120
Custer,Montana,120
Downsville,Wisconsin,120
Flaming Gorge,Utah,120
Pella,Wisconsin,120
Bowdon,North Dakota,120
Lafferty,Ohio,120
Alton,Utah,120
Ledyard,Iowa,120
Hockingport,Ohio,120
Moundville,Missouri,120
Wann,Oklahoma,120
Masonville,Iowa,120
Deepstep,Georgia,120
Lillie,Louisiana,120
Arrowhead Springs,Wyoming,120
Geneva,Pennsylvania,120
Gallina,New Mexico,120
Petronila,Texas,120
Brice,Ohio,120
Eagarville,Illinois,120
Eagle,Michigan,120
Oldham,South Dakota,120
Kennan,Wisconsin,120
Mount Hermon,New Jersey,120
Hamburg,Illinois,119
Venedocia,Ohio,119
Moffat,Colorado,119
Leshara,Nebraska,119
Duncan,Iowa,119
Alpha,Minnesota,119
Landess,Indiana,119
Fort Smith,Montana,119
Adams,North Dakota,119
Diomede,Alaska,119
Lowndesville,South Carolina,119
Snelling,California,119
Dry Creek,Alaska,119
Superior,Iowa,119
Flute Springs,Oklahoma,119
Indian Beach,North Carolina,119
Galesburg,Kansas,119
Trego-Rohrersville Station,Maryland,119
Almont,North Dakota,119
Chaparrito,Texas,119
Hingham,Montana,119
La Junta Gardens,Colorado,119
Orchard,Colorado,119
Naples,Illinois,119
Prairie View,Kansas,119
Johannesburg,California,119
La Russell,Missouri,118
Darlington,Missouri,118
Moffett,Oklahoma,118
Goff,Kansas,118
Hannaford,North Dakota,118
Macksburg,Iowa,118
Smoaks,South Carolina,118
Guys Mills,Pennsylvania,118
Blue Mountain,Arkansas,118
Emison,Indiana,118
Retsof,New York,118
Otterville,Illinois,118
Allport,Arkansas,118
Hickory Hill,Kentucky,118
Bellville,Georgia,118
Westphalia,Iowa,118
Dupuyer,Montana,118
H. Cuellar Estates,Texas,118
Loco,Oklahoma,118
Bernard,Iowa,118
Woodstock,Minnesota,118
Fairfield,Kentucky,118
Effie,Minnesota,118
Center Junction,Iowa,118
Vernon,Illinois,118
Arthur,Nebraska,118
Green Valley,Wisconsin,118
Matthews,Georgia,118
Grafton,Nebraska,118
Osnabrock,North Dakota,118
Bartow,West Virginia,118
Benbow,California,118
Owl Ranch,Texas,117
Broadwater,Nebraska,117
San Acacio,Colorado,117
Roscoe,Missouri,117
Dodson,Montana,117
Dodge,Wisconsin,117
Du Pont,Georgia,117
Roosevelt,Washington,117
Toronto,Iowa,117
Ratliff City,Oklahoma,117
Templeville,Maryland,117
Farwell,Nebraska,117
Mount Ayr,Indiana,117
Forest Hill Village,Montana,117
Maiden Rock,Wisconsin,117
Glen Ferris,West Virginia,117
Elmdale,Minnesota,117
Lucien,Oklahoma,117
De Witt,Missouri,117
Cascadia,Oregon,117
Lynndyl,Utah,117
Mount Laguna,California,117
Rohrersville,Maryland,117
South Amana,Iowa,117
Fort Shaw,Montana,116
Kincaid,Kansas,116
Oxbow,New York,116
McKittrick,California,116
Rome,Iowa,116
Segundo,Colorado,116
Laporte,Minnesota,116
Chimney Rock Village,North Carolina,116
Wilson,Ohio,116
Lumberton,New Mexico,116
Jennette,Arkansas,116
Armstrong,Oklahoma,116
Bluff City,Arkansas,116
Honcut,California,116
Myrtlewood,Alabama,116
Nelchina,Alaska,116
Banks,Arkansas,116
Nora,Illinois,116
Louisburg,Missouri,116
Littleton,West Virginia,116
Bushnell,Nebraska,116
Brownsville,Ohio,116
Mound Station,Illinois,116
Stoy,Illinois,115
Bascom,Florida,115
Chelsea,Wisconsin,115
Blawenburg,New Jersey,115
McKinney,Kentucky,115
Tar Heel,North Carolina,115
Hyampom,California,115
Starkweather,North Dakota,115
Y-O Ranch,Wyoming,115
Branchville,Virginia,115
Fairfax,South Dakota,115
Marengo,Wisconsin,115
Weldon,Iowa,115
Yale,South Dakota,115
Arroyo Gardens,Texas,115
Cache,Utah,115
Princeton,Idaho,115
Middlebrook,Virginia,115
Vale,South Dakota,115
Belgrade,Nebraska,114
Malaga,New Mexico,114
Culver,Kansas,114
Delaplaine,Arkansas,114
Bartlett,Nebraska,114
Animas,New Mexico,114
Smithfield,Kentucky,114
Ironton,Michigan,114
Batesland,South Dakota,114
Kempton,Pennsylvania,114
Deering,North Dakota,114
Proctorville,North Carolina,114
Hitchcock,Oklahoma,114
Todd Mission,Texas,114
Malmo,Nebraska,114
Belleair Shore,Florida,114
Mud Bay,Alaska,114
Mapletown,Pennsylvania,114
Minidoka,Idaho,113
Park,Kansas,113
Ross,North Dakota,113
Roscoe,Minnesota,113
Gum Springs,Arkansas,113
West Sullivan,Missouri,113
Lodge,South Carolina,113
Aquilla,Texas,113
Riverton,Minnesota,113
Ruskin,Nebraska,113
Manderson,Wyoming,113
Libertyville,Alabama,113
Paden,Mississippi,113
Austin,Nevada,113
Calvary,Georgia,113
Lublin,Wisconsin,113
Pringle,South Dakota,113
St. Paul,Arkansas,113
Wheaton,Kansas,113
Bradley,California,113
Eagles Mere,Pennsylvania,113
Broughton,Ohio,113
Maple City,Michigan,113
Morley,Iowa,113
Woods Landing-Jelm,Wyoming,113
Neibert,West Virginia,113
Fence Lake,New Mexico,113
Picuris Pueblo,New Mexico,113
Grand Falls Plaza,Missouri,112
Oriska,North Dakota,112
Oakvale,West Virginia,112
St. Augustine,Illinois,112
Raymer,Colorado,112
Derby,Iowa,112
Huetter,Idaho,112
Argonne,Wisconsin,112
Marne,Iowa,112
Love Valley,North Carolina,112
Gerty,Oklahoma,112
Jansen,Nebraska,112
Fidelity,Illinois,112
New Woodville,Oklahoma,112
St. Onge,South Dakota,112
Bethel,Missouri,112
Rye,Arkansas,112
Wilson City,Missouri,112
Isabella,Oklahoma,112
Scottsburg,New York,112
Talmage,Kansas,112
Bridgeville,New Jersey,112
Eagle River,Michigan,112
Liberty,Kansas,111
Monmouth,California,111
Harmon,Illinois,111
Rose Farm,Ohio,111
Parksville,South Carolina,111
Cal-Nev-Ari,Nevada,111
Junction,Illinois,111
Foxhome,Minnesota,111
Lake Henry,Minnesota,111
Galloway,West Virginia,111
East Verde Estates,Arizona,111
Orrtanna,Pennsylvania,111
Pie Town,New Mexico,111
Barneston,Nebraska,111
Foster,Missouri,111
Sycamore,Oklahoma,111
Seven Springs,North Carolina,111
Lynnville,Illinois,111
Chickamaw Beach,Minnesota,111
Roderfield,West Virginia,111
Bell Center,Wisconsin,111
Woodruff,Arizona,111
Sulphur Springs,Ohio,111
Scottville,Illinois,110
Floyd,New Mexico,110
Terlingua,Texas,110
Westwood,Iowa,110
Memphis,Nebraska,110
Harper,Iowa,110
Melstone,Montana,110
Ware Place,South Carolina,110
Federal Dam,Minnesota,110
Highland Beach,Maryland,110
Macon,North Carolina,110
Ridgeville,Alabama,110
Stanley,Louisiana,110
Orme,Tennessee,110
Donegal,Pennsylvania,110
Buchanan,North Dakota,110
Kirby,Ohio,110
St. Charles,Virginia,110
Brayton,Iowa,110
Birney,Montana,110
Rutledge,Missouri,110
Biscay,Minnesota,110
Benjamin Perez,Texas,110
Taylor,Wyoming,110
Daisy,Arkansas,110
Fairford,Alabama,110
Bon Air,Alabama,110
Hartsburg,Missouri,110
Crisman,Colorado,110
Tullahassee,Oklahoma,110
Melvina,Wisconsin,110
Vernon,California,110
Egypt,Arkansas,109
Waverly,Washington,109
Lanesboro,Iowa,109
Belden,Nebraska,109
Port Heiden,Alaska,109
New Haven,Iowa,109
Chalkyitsik,Alaska,109
Opal,Wyoming,109
Marietta,Illinois,109
Crook,Colorado,109
Williams,South Carolina,109
Clifton Hill,Missouri,109
Milledgeville,Ohio,109
Durham,Kansas,109
Roscoe,Nebraska,109
Aldora,Georgia,109
Martinsburg,Iowa,109
Bridgeport,Oklahoma,109
Aripeka,Florida,109
Alder,Montana,109
Detmold,Maryland,109
Heathsville,Virginia,109
Loretto,Nebraska,109
Frenchtown-Rumbly,Maryland,109
Smithville,Oklahoma,109
West Amana,Iowa,109
Bivalve,Maryland,109
Minneiska,Minnesota,108
McDonald,North Carolina,108
Acme,Washington,108
McFarlan,North Carolina,108
Tunnel City,Wisconsin,108
Buckeye,Iowa,108
Toyah,Texas,108
Spaulding,California,108
South Fork Estates,Texas,108
Newburg,North Dakota,108
Cromwell,Iowa,108
Tennessee,Illinois,108
Melbeta,Nebraska,108
Kenton Vale,Kentucky,108
Baldwin,Iowa,108
Dacoma,Oklahoma,108
Herbster,Wisconsin,108
Promise City,Iowa,108
Chical,New Mexico,108
Rosalia,Kansas,108
Pawleys Island,South Carolina,108
Seville,Georgia,108
Emington,Illinois,108
Comstock,Minnesota,108
Furnace Creek,California,108
Antoine,Arkansas,108
Vidette,Georgia,107
Addington,Oklahoma,107
Dodson,Texas,107
Brandt,South Dakota,107
Vilas,Colorado,107
Ventana,Arizona,107
Stockholm,South Dakota,107
Dotyville,Oklahoma,107
Crane,Oregon,107
Marseilles,Ohio,107
Arion,Iowa,107
Mayfield,Kansas,107
Bock,Minnesota,107
Republic,Kansas,107
Wiota,Iowa,107
Minturn,Arkansas,107
Dwale,Kentucky,107
Friendsville,Pennsylvania,107
Humphreys,Missouri,107
Calverton,Virginia,107
Blackburn,Oklahoma,107
Tioga,West Virginia,107
Felt,Oklahoma,107
Terlton,Oklahoma,107
Loomis,Washington,107
Blanco,Oklahoma,107
Celeryville,Ohio,107
Pulaski,Ohio,107
Fallon,Montana,107
Hope,New Mexico,106
Corona,South Dakota,106
Corn Creek,South Dakota,106
Cornucopia,Wisconsin,106
Cedar,Michigan,106
Harbor View,Ohio,106
Leadore,Idaho,106
Lasker,North Carolina,106
Squaw Lake,Minnesota,106
Ohiowa,Nebraska,106
Somers,Iowa,106
Neville,Ohio,106
Plato,Missouri,106
Girdletree,Maryland,106
Belknap,Illinois,106
Brooklyn Heights,Missouri,106
Interior,South Dakota,106
Carpenter,Iowa,106
Cowlic,Arizona,106
Brock,Nebraska,106
Ridgely,Missouri,106
New Trier,Minnesota,106
Pueblito,New Mexico,106
Deerfield,Virginia,106
Clitherall,Minnesota,106
Sims,Indiana,106
Spring Hill,Indiana,106
Turnerville,Wyoming,106
Colon,Nebraska,106
Loma Linda,Texas,106
Atkinson Mills,Pennsylvania,106
Century,West Virginia,106
Egegik,Alaska,106
Revillo,South Dakota,105
Pisek,North Dakota,105
Hidalgo,Illinois,105
Torboy,Washington,105
Gaylord,Kansas,105
Ten Broeck,Kentucky,105
Pocahontas,Missouri,105
Odin,Minnesota,105
Grass Range,Montana,105
King and Queen Court House,Virginia,105
Barstow,Washington,105
Brandonville,West Virginia,105
Glenham,South Dakota,105
Iago,Texas,105
Ackworth,Iowa,105
Sykeston,North Dakota,105
Tradewinds,Texas,105
Sarben,Nebraska,105
Blodgett Landing,New Hampshire,105
Havana,Kansas,105
Homewood,Pennsylvania,105
Tobias,Nebraska,105
Olmitz,Kansas,105
Pindall,Arkansas,105
East Brooklyn,Illinois,105
Elsie,Nebraska,105
West Scio,Oregon,105
Mount Etna,Indiana,105
Lund,Nevada,105
Gabbs,Nevada,105
Palmer,Kansas,104
Vona,Colorado,104
Walnut Hill,Illinois,104
Big Flat,Arkansas,104
Frisco,North Carolina,104
Millerville,Minnesota,104
Fish Lake,Minnesota,104
Mount Auburn,Indiana,104
Jericho,Arkansas,104
Hamer,Idaho,104
Brownington,Missouri,104
Belmar,Nebraska,104
Salem,Nebraska,104
Hatton,Washington,104
Nobleton,Florida,104
Fruitdale,Alabama,104
Silver Lake,Oregon,104
Sylvarena,Mississippi,104
Mountville,South Carolina,104
Melrose,Iowa,104
St. Joseph,Iowa,104
South Bend,Nebraska,104
Slate Springs,Mississippi,104
Cardwell,Montana,104
Valley,Washington,104
Grady,New Mexico,103
Truxton,Missouri,103
Oberon,North Dakota,103
Fraser,Iowa,103
Borup,Minnesota,103
New Hope,Kentucky,103
Wann,Nebraska,103
Harrison,Montana,103
Union Level,Virginia,103
Ronald,Washington,103
Atwood,Pennsylvania,103
Castle,Oklahoma,103
Marrowbone,Kentucky,103
Herrick,South Dakota,103
Edmonson,Texas,103
Pinetown,North Carolina,103
Nessen City,Michigan,103
Darfur,Minnesota,103
Edinburg,Missouri,103
Weatherby,Missouri,103
Savonburg,Kansas,103
Campo Bonito,Arizona,103
Bryce,Arizona,103
Dayton Lakes,Texas,103
McCartys Village,New Mexico,103
Oto,Iowa,103
Nodaway,Iowa,103
Palmyra,Virginia,103
Beaver,Oregon,103
Centerville,Washington,103
Gibbs,Missouri,102
Turner,Michigan,102
Mutual,Ohio,102
Springerton,Illinois,102
Benton City,Missouri,102
Springlake,Texas,102
Dover,Missouri,102
Tony,Wisconsin,102
Galesburg,North Dakota,102
Campo,Colorado,102
Oyens,Iowa,102
Bickleton,Washington,102
O'Brien,Texas,102
Northway,Alaska,102
Vermillion,Kansas,102
Leisure Lake,Missouri,102
Tampa,Kansas,102
Lithium,Missouri,102
Hope,Idaho,102
Paskenta,California,102
Chalkhill,Pennsylvania,102
Wikieup,Arizona,102
Long Barn,California,102
Lemoyne,Nebraska,102
Canova,New Mexico,102
Percival,Iowa,102
Morse,Texas,102
Zinc,Arkansas,101
Alpine Village,California,101
Badger,South Dakota,101
Sardis,Kentucky,101
Rodriguez Camp,California,101
St. George,Alaska,101
Sageville,Iowa,101
Winslow,Nebraska,101
Coalmont,Pennsylvania,101
Jeisyville,Illinois,101
Aullville,Missouri,101
Viking,Minnesota,101
Emerald,Wisconsin,101
Beltrami,Minnesota,101
Fair Oaks,Oklahoma,101
Smiths Ferry,Idaho,101
St. Olaf,Iowa,101
Norwich,Ohio,101
Lonsdale,Arkansas,101
West Line,Missouri,101
Moccasin,Arizona,101
McGrew,Nebraska,101
Fairview,Wyoming,101
Naponee,Nebraska,100
Canova,South Dakota,100
Darwin,California,100
Lake Annette,Missouri,100
Chain of Rocks,Missouri,100
Rockville,Nebraska,100
Haleburg,Alabama,100
Reeds,Missouri,100
Collyer,Kansas,100
Curlew,Washington,100
Eden,South Dakota,100
Robbins,Tennessee,100
West York,Illinois,100
Henry,Nebraska,100
Seba Dalkai,Arizona,100
Longtown,Missouri,100
Warfield,Virginia,100
Mercer,North Dakota,100
Primrose,Alaska,100
Big Lagoon,California,100
Lake View,Texas,100
Albion,Oklahoma,100
Catawba,Wisconsin,100
Hooper,Colorado,100
Overland,Nebraska,100
Nottoway Court House,Virginia,100
Oak Hall,Virginia,100
Trommald,Minnesota,100
Leon,Oklahoma,100
Ravanna,Missouri,100
Alfordsville,Indiana,100
Fox Lake,Montana,100
Monomoscoy Island,Massachusetts,100
Old Ripley,Illinois,99
Alberta,Minnesota,99
Lakeview North,Wyoming,99
Cresbard,South Dakota,99
Troy,South Carolina,99
Manchester,Oklahoma,99
Vivian,South Dakota,99
Bruno,Minnesota,99
Fremont,Utah,99
Sunburg,Minnesota,99
Silerton,Tennessee,99
Comptche,California,99
Etowah,Oklahoma,99
Bryceland,Louisiana,99
Dodge,North Dakota,99
Dunning,Nebraska,99
Lastrup,Minnesota,99
St. Anthony,Iowa,99
Batesville,Ohio,99
Bath Corner,South Dakota,99
Maybeury,West Virginia,99
Thompson Springs,Utah,99
Tylersburg,Pennsylvania,99
