area,prefecture,population
Evanston,Illinois,73473
Apple Valley,California,73453
Mansfield,Ohio,73326
Caguas,Puerto Rico,73322
Schaumburg,Illinois,72887
Pocatello,Idaho,72878
Woodbury,Minnesota,72828
Southfield,Michigan,72689
Ellicott City,Maryland,72665
Dale City,Virginia,72627
Maple Grove,Minnesota,72622
Pittsburg,California,72588
New Britain,Connecticut,72495
Morgantown,West Virginia,72458
Mansfield,Texas,72419
Hammond,Louisiana,72413
Dothan,Alabama,72396
Harrisonburg,Virginia,72386
Wenatchee,Washington,72350
Waukesha,Wisconsin,72299
Pawtucket,Rhode Island,72117
Redmond,Washington,71929
Lauderhill,Florida,71868
Sumter,South Carolina,71518
Redlands,California,71513
Daphne,Alabama,71484
Mount Vernon,Washington,71422
Weston,Florida,71166
St. Charles,Missouri,71028
Janesville,Wisconsin,70755
Sherman,Texas,70704
North Richland Hills,Texas,70670
Broomfield,Colorado,70465
El Paso de Robles,California,70248
Bristol,Tennessee,70243
Wilmington,Delaware,70166
Casas Adobes,Arizona,70166
Walnut Creek,California,70166
Poinciana,Florida,69955
Lynwood,California,69887
Glen Burnie,Maryland,69872
Lehi,Utah,69724
Passaic,New Jersey,69703
Homestead,Florida,69523
West Bend,Wisconsin,69504
Delray Beach,Florida,69451
Sheboygan,Wisconsin,69393
Lake Elsinore,California,69283
Daytona Beach,Florida,69186
Los Lunas,New Mexico,69020
Lima,Ohio,68878
Decatur,Alabama,68867
Rocklin,California,68823
Rogers,Arkansas,68669
Castle Rock,Colorado,68484
Hanover,Pennsylvania,68165
Bossier City,Louisiana,68159
Dubuque,Iowa,68109
Rockville,Maryland,68079
Victoria,Texas,68078
Saratoga Springs,New York,68028
Guaynabo,Puerto Rico,68024
Gaithersburg,Maryland,67985
Union City,New Jersey,67982
Ames,Iowa,67910
West Des Moines,Iowa,67899
South San Francisco,California,67789
Yorba Linda,California,67644
Casper,Wyoming,67598
Palatine,Illinois,67482
Corvallis,Oregon,67467
Ankeny,Iowa,67355
Mount Vernon,New York,67345
Rowlett,Texas,67339
Lakeville,Minnesota,67317
Alpharetta,Georgia,67213
Longview,Washington,67081
DeKalb,Illinois,66959
Petaluma,California,66929
Redondo Beach,California,66749
Tamarac,Florida,66721
Laguna Niguel,California,66385
Eagan,Minnesota,66372
Kenner,Louisiana,66340
Bay City,Michigan,66107
North Little Rock,Arkansas,65903
Sammamish,Washington,65892
Shawnee,Kansas,65807
Jupiter,Florida,65791
Doral,Florida,65741
Florence-Graham,California,65716
Carbondale,Illinois,65671
Blaine,Minnesota,65607
Weirton,West Virginia,65578
Tulare,California,65496
Wellington,Florida,65398
Pflugerville,Texas,65380
Palo Alto,California,65364
Schenectady,New York,65273
Great Falls,Montana,65131
Michigan City,Indiana,65058
Bayonne,New Jersey,64897
Eden Prairie,Minnesota,64893
Port Orange,Florida,64842
Dublin,California,64826
Grand Forks,North Dakota,64748
Noblesville,Indiana,64668
San Clemente,California,64558
Brentwood,California,64474
Carmichael,California,64454
East Orange,New Jersey,64367
Eastvale,California,64157
Chapel Hill,North Carolina,64051
Rocky Mount,North Carolina,64018
Haverhill,Massachusetts,64014
Beloit,Wisconsin,63762
Glens Falls,New York,63499
Brentwood,New York,63399
Fairbanks,Alaska,63245
Springfield,Oregon,63230
Bethesda,Maryland,63195
Johnstown,Pennsylvania,63141
Dundalk,Maryland,63015
Castro Valley,California,63013
Coon Rapids,Minnesota,62998
Elmira,New York,62989
Mankato,Minnesota,62889
Albany,Oregon,62880
North Miami,Florida,62822
Encinitas,California,62709
Skokie,Illinois,62700
Leander,Texas,62608
Parkersburg,West Virginia,62566
Waltham,Massachusetts,62495
Port Charlotte,Florida,62327
Palm Harbor,Florida,62310
San Luis Obispo,California,62290
Sebring,Florida,62250
Council Bluffs,Iowa,62166
Hamilton,Ohio,62082
Moore,Oklahoma,62055
Pico Rivera,California,62027
Casa Grande,Arizona,61966
Monessen,Pennsylvania,61960
Montebello,California,61954
Rome,Georgia,61537
The Hammocks,Florida,61516
